[2023-10-06 21:47:43,716] 5 root - INFO - Loading Enviroment Variables ...
[2023-10-06 21:47:44,194] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2023-10-06 21:47:45,466] 16 root - INFO - ********************Data Ingestion Loading********************
[2023-10-06 21:47:45,466] 25 root - INFO - Initiate Data Ingestion, Exporting Data as a Dataframe...
[2023-10-06 21:47:45,466] 14 root - INFO - Reading Data From DataBase: aps, accessing Collection: sensor
[2023-10-06 21:47:48,595] 16 root - INFO - Shape of the Dataset: (36188, 172)
[2023-10-06 21:47:48,806] 33 root - INFO - Save Data into Raw Data
[2023-10-06 21:47:48,808] 36 root - INFO - Raw Data Directory Initialised
[2023-10-06 21:47:50,251] 40 root - INFO - >>>Data Segregation Process Initiated<<<
[2023-10-06 21:47:50,474] 46 root - INFO - Save Training and Testing Datasets
[2023-10-06 21:47:52,023] 57 root - INFO - Data Ingestion artifact: DataIngestionArtifact(raw_data_dir='C:\\Users\\nikhi\\sensor-fault-classifier\\artifact\\10062023_214745\\data_ingestion\\raw_data\\raw_data.csv', train_data_dir='C:\\Users\\nikhi\\sensor-fault-classifier\\artifact\\10062023_214745\\data_ingestion\\dataset\\train.csv', test_data_dir='C:\\Users\\nikhi\\sensor-fault-classifier\\artifact\\10062023_214745\\data_ingestion\\dataset\\test.csv')
[2023-10-06 21:47:52,402] 17 root - INFO - ********************Data Validation Loading********************
[2023-10-06 21:47:52,402] 89 root - INFO - Reading the Base Dataset, Treating for Missing Values
[2023-10-06 21:47:54,270] 28 root - INFO - Selecting Columns with Missing values above 2.0% Threshold
[2023-10-06 21:47:55,667] 28 root - INFO - Selecting Columns with Missing values above 2.0% Threshold
[2023-10-06 21:47:55,748] 28 root - INFO - Selecting Columns with Missing values above 2.0% Threshold
[2023-10-06 21:47:55,764] 68 root - INFO - Running Kologomorov-Smirnov Test to Check If data belong to the same distribution
[2023-10-06 21:47:55,848] 68 root - INFO - Running Kologomorov-Smirnov Test to Check If data belong to the same distribution
